variant,section,mode,tp,fp,fn,precision,recall,f1
sm_aug,item_10,relaxed,140,183,139,0.43343653250773995,0.5017921146953405,0.46511627906976744
sm_base,item_10,relaxed,110,408,169,0.21235521235521235,0.3942652329749104,0.27603513174404015
trf_aug,item_10,relaxed,139,156,140,0.4711864406779661,0.4982078853046595,0.48432055749128916
trf_base,item_10,relaxed,130,287,149,0.3117505995203837,0.4659498207885305,0.3735632183908046
sm_aug,item_10,strict,111,212,168,0.34365325077399383,0.3978494623655914,0.3687707641196013
sm_base,item_10,strict,87,431,192,0.16795366795366795,0.3118279569892473,0.21831869510664992
trf_aug,item_10,strict,112,183,167,0.37966101694915255,0.4014336917562724,0.39024390243902435
trf_base,item_10,strict,116,301,163,0.27817745803357313,0.4157706093189964,0.3333333333333333
sm_aug,item_7,relaxed,522,9,420,0.9830508474576272,0.554140127388535,0.7087576374745418
sm_base,item_7,relaxed,0,0,942,0.0,0.0,0.0
trf_aug,item_7,relaxed,522,9,420,0.9830508474576272,0.554140127388535,0.7087576374745418
trf_base,item_7,relaxed,0,0,942,0.0,0.0,0.0
sm_aug,item_7,strict,298,233,644,0.5612052730696798,0.31634819532908703,0.4046164290563476
sm_base,item_7,strict,0,0,942,0.0,0.0,0.0
trf_aug,item_7,strict,298,233,644,0.5612052730696798,0.31634819532908703,0.4046164290563476
trf_base,item_7,strict,0,0,942,0.0,0.0,0.0
