variant,mode,section,tp,fp,fn,precision,recall,f1
sm_aug,relaxed,item_10,140,183,139,0.43343653250773995,0.5017921146953405,0.46511627906976744
sm_aug,relaxed,item_7,522,9,420,0.9830508474576272,0.554140127388535,0.7087576374745418
sm_aug,strict,item_10,111,212,168,0.34365325077399383,0.3978494623655914,0.3687707641196013
sm_aug,strict,item_7,298,233,644,0.5612052730696798,0.31634819532908703,0.4046164290563476
sm_base,relaxed,item_10,110,408,169,0.21235521235521235,0.3942652329749104,0.27603513174404015
sm_base,relaxed,item_7,0,0,942,0.0,0.0,0.0
sm_base,strict,item_10,87,431,192,0.16795366795366795,0.3118279569892473,0.21831869510664992
sm_base,strict,item_7,0,0,942,0.0,0.0,0.0
trf_aug,relaxed,item_10,139,156,140,0.4711864406779661,0.4982078853046595,0.48432055749128916
trf_aug,relaxed,item_7,522,9,420,0.9830508474576272,0.554140127388535,0.7087576374745418
trf_aug,strict,item_10,112,183,167,0.37966101694915255,0.4014336917562724,0.39024390243902435
trf_aug,strict,item_7,298,233,644,0.5612052730696798,0.31634819532908703,0.4046164290563476
trf_base,relaxed,item_10,130,287,149,0.3117505995203837,0.4659498207885305,0.3735632183908046
trf_base,relaxed,item_7,0,0,942,0.0,0.0,0.0
trf_base,strict,item_10,116,301,163,0.27817745803357313,0.4157706093189964,0.3333333333333333
trf_base,strict,item_7,0,0,942,0.0,0.0,0.0
sm_aug,relaxed,overall,662,192,559,0.775175644028103,0.5421785421785422,0.6380722891566265
sm_aug,strict,overall,409,445,812,0.47892271662763464,0.33497133497133497,0.3942168674698795
sm_base,relaxed,overall,110,408,1111,0.21235521235521235,0.09009009009009009,0.12650948821161587
sm_base,strict,overall,87,431,1134,0.16795366795366795,0.07125307125307126,0.10005750431282347
trf_aug,relaxed,overall,661,165,560,0.8002421307506054,0.5413595413595413,0.6458231558378115
trf_aug,strict,overall,410,416,811,0.4963680387409201,0.3357903357903358,0.40058622374206154
trf_base,relaxed,overall,130,287,1091,0.3117505995203837,0.10647010647010648,0.15873015873015875
trf_base,strict,overall,116,301,1105,0.27817745803357313,0.095004095004095,0.1416361416361416
